mean_anomaly_deg,slab_density_kg_km,sigma
7.500000000000000000e+00,9.674919497845991145e+01,4.376903879011369725e+01
2.250000000000000000e+01,1.250628998491312700e+02,2.438012248396681514e+01
3.750000000000000000e+01,1.506142920494931445e+02,4.530479453713523696e+01
5.250000000000000000e+01,1.368027286979461792e+02,1.177412739383174412e+01
6.750000000000000000e+01,1.185024072571464444e+02,9.726453064469719578e+00
8.250000000000000000e+01,1.309328142735387246e+02,1.433372030553433696e+01
9.750000000000000000e+01,1.395650413682555495e+02,1.279796455851275461e+01
1.125000000000000000e+02,1.488878466305498023e+02,2.150058045830146369e+01
1.275000000000000000e+02,1.664975899037722229e+02,2.636380699053627907e+01
1.425000000000000000e+02,1.968830292771755808e+02,4.504883524596499456e+01
1.575000000000000000e+02,2.158739288855526866e+02,1.005920014299103826e+02
1.725000000000000000e+02,3.006423989556723200e+02,6.757325286894742078e+01
1.875000000000000000e+02,3.933525179529314073e+02,9.803240851820783064e+01
2.025000000000000000e+02,3.930072288691427502e+02,6.450174137490438397e+01
2.175000000000000000e+02,3.015056216651439627e+02,1.036635129239534194e+02
2.325000000000000000e+02,1.772015515012211040e+02,5.458331884205698969e+01
2.475000000000000000e+02,1.292063688545953255e+02,4.581671311947572178e+01
2.625000000000000000e+02,9.018870238647508586e+01,5.336751220899824943e+01
2.775000000000000000e+02,6.014855209686038506e+01,2.226845833181223355e+01
2.925000000000000000e+02,5.565979400760761564e+01,5.119185823405110369e+01
3.075000000000000000e+02,8.017531895660351893e+01,4.914418390468903652e+01
3.225000000000000000e+02,6.705433377263392458e+01,7.934738026277895706e+00
3.375000000000000000e+02,6.739962285642258166e+01,1.996482471127992397e+01
3.525000000000000000e+02,7.257895911325272209e+01,1.126220881149121666e+01
